	0
In all the rainy desert of autumnal London there were only two people whom the Newland Archers knew; and these two they had sedulously avoided, in conformity with the old New York tradition that it was not “dignified” to force oneself on the notice of one’s acquaintances in foreign countries.Mrs. Archer and Janey... had so unflinchingly lived up to this principle... that they had almost achieved the record of never having exchanged a word with a “foreigner” other than those employed in hotels and railway-stations.	"[""the-rules-of-society"", ""american-vs-foreign""]"
His whole future seemed suddenly to be unrolled before him; and passing down its endless emptiness he saw the dwindling figure of a man to whom nothing was ever to happen.... It had seemed so exactly the place in which he ought to have found Madame Olenska; and she was far away, and even the pink sunshade was not hers...	"[""the-failure-of-marriage"", ""change-and-progress""]"
“Is it a bad business—for May?”He stood in the window... feeling in every fiber the wistful tenderness with which she had spoken her cousin’s name.“For that’s the thing we’ve always got to think of—haven’t we—by your own showing?” she insisted.... “[I]f it’s not worth while to have given up, to have missed things, so that others may be saved from disillusionment and misery—then everything I came home for, everything that made my other life seem by contrast so bare and so poor because no one there took account of them—all these things are a sham or a dream—”	"[""innocence-vs-experience"", ""the-failure-of-marriage"", ""the-rules-of-society""]"
[P]unctually at about this time Mrs. Archer always said that New York was very much changed.Observing it from the lofty stand-point of a non-participant, she was able... to trace each new crack in its surface, and all the strange weeds pushing up between the ordered rows of social vegetables. It had been one of the amusements of Archer’s youth to... hear her enumerate the minute signs of disintegration that his careless gaze had overlooked. For New York, to Mrs. Archer’s mind, never changed without changing for the worse.... 	"[""the-rules-of-society"", ""change-and-progress""]"
As she sat thus, the lamplight full on her clear brow, he said to himself with a secret dismay that he would always know the thoughts behind it, that never, in all the years to come, would she surprise him by an unexpected mood, by a new idea, a weakness, a cruelty or an emotion.... Now she was simply ripening into a copy of her mother, and mysteriously, by the very process, trying to turn him into a Mr. Welland.	"[""innocence-vs-experience"", ""the-failure-of-marriage"", ""the-rules-of-society"", ""change-and-progress""]"
And then it came over him, in a vast flash made up of many broken gleams, that to all of them he and Madame Olenska were lovers.... He guessed himself to have been, for months, the center of countless silently observing eyes and patiently listening ears, he understood that, by means as yet unknown to him, the separation between himself and the partner of his guilt had been achieved, and that now the whole tribe had rallied about his wife on the tacit assumption that nobody knew anything, or had ever imagined anything....It was the old New York way, of taking life “without effusion of blood”; the way of people who dreaded scandal more than disease, who placed decency above courage, and who considered that nothing was more ill-bred than “scenes,” except the behavior of those who gave rise to them.	"[""innocence-vs-experience"", ""the-failure-of-marriage"", ""the-rules-of-society""]"
And as he had seen her that day, so she had remained;... generous, faithful, unwearied; but so lacking in imagination, so incapable of growth, that the world of her youth had fallen into pieces and rebuilt itself without her ever being conscious of the change.... And she had died thinking the world a good place, full of loving and harmonious households like her own, and resigned to leave it because she was convinced that, whatever happened, Newland would continue to inculcate in Dallas the same principles and prejudices which had shaped his parents’ lives, and that Dallas in turn (when Newland followed her) would transmit the sacred trust to little Bill.	"[""innocence-vs-experience"", ""the-rules-of-society"", ""change-and-progress""]"
“I weep for Narcissus, but I never noticed that Narcissus was beautiful. I weep because, each time he knelt beside my banks, I could see, in the depths of his eyes, my own beauty reflected.” “What a lovely story,” the alchemist thought.	"[""alchemy-and-the-value-of-simplicity""]"
“You came so that you could learn about your dreams,” said the old woman.	"[""the-pursuit-of-your-personal-legend"", ""maktub-and-what-is-meant-to-be"", ""the-interconnectedness-of-all-things""]"
“Well, why don’t you go to Mecca now?” asked the boy. “Because it’s the thought of Mecca that keeps me alive. That’s what helps me face these days that are all the same, these mute crystals on the shelves, and lunch and dinner at that same horrible café. I’m afraid that if my dream is realized, I’ll have no reason to go on living.”	"[""the-pursuit-of-your-personal-legend"", ""the-unimportance-of-death-and-fear""]"
He thought of the many roads he had traveled, and of the strange way God had chosen to show him his treasure. If he hadn’t believed in the significance of recurrent dreams, he would not have met the Gypsy woman, the king, the thief, or…“Well, it’s a long list. But the path was written in the omens, and there was no way I could go wrong,” he said to himself.	"[""the-pursuit-of-your-personal-legend"", ""maktub-and-what-is-meant-to-be""]"
They are like birdcages; but what is being caged in? Legs, the legs of ladies; legs penned in so they cannot get out and go rubbing up against the gentlemen’s trousers. The Governor’s wife never says legs, although the newspapers said legs when they were talking about Nancy, with her dead legs sticking out from under the washtub.	"[""female-sexuality-and-the-nature-of-women"", ""social-class-and-propriety""]"
When I was quite young, six or seven, I put my hand on my mother’s belly, which was all round and tight, and I said What is in there, another mouth to feed, and my mother smiled sadly and said Yes I fear so, and I had a picture of an enormous mouth, on a head like the flying angel heads on the gravestones, but with teeth and all, eating away at my mother from the inside, and I began to cry because I thought it would kill her.	"[""female-sexuality-and-the-nature-of-women"", ""gender-ownership-and-power""]"
It would be helpful to me, if she were indeed mad, or at least a little madder than she appears to be; but thus far she has manifested a composure that a duchess might envy. I have never known any woman to be so thoroughly self-contained.	"[""female-sexuality-and-the-nature-of-women"", ""social-class-and-propriety"", ""truth-memory-and-madness""]"
And since that time I have thought, why is it that women have chosen to sew such flags, and then to lay them on the tops of beds? For they make the bed the most noticeable thing in a room. And then I have thought, it’s for a warning. Because you may think a bed is a peaceful thing, Sir, and to you it may mean rest and comfort and a good night’s sleep. But it isn’t so for everyone; and there are many dangerous things that may take place in a bed. It is where we are born, and that is our first peril in life; and it is where the women give birth, which is often their last. And it is where the act takes place between men and women […] and some call it love, and others despair, or else merely an indignity which they must suffer through. 	"[""female-sexuality-and-the-nature-of-women"", ""gender-ownership-and-power""]"
There were red smears afterwards, on his shirt, from where she’d started to undo his buttons; but it was the first time he’d ever kissed a woman, and he’d been embarrassed, and then alarmed, and hadn’t known what to do next. Probably she’d laughed at him.	"[""female-sexuality-and-the-nature-of-women"", ""social-class-and-propriety"", ""gender-ownership-and-power""]"
[…] and one day they did see a bear, and Nancy ran away screaming, and climbed a tree. Sally said the bear was more frightened than Nancy was, and Nancy said it was probably a gentleman bear and it was running away from something dangerous that it had never seen before, but might have caught a glimpse of as she climbed the tree; and they laughed very much.	"[""storytelling-and-power"", ""female-sexuality-and-the-nature-of-women"", ""social-class-and-propriety"", ""gender-ownership-and-power""]"
What was in there for wiping was an old copy of the Godey’s Ladies’ Book; I always looked at the pictures before using them. Most were of the latest fashions, but some were of duchesses from England and high-society ladies in New York and the like. You should never let your picture be in a magazine or newspaper if you can help it, as you never know what ends your face may be made to serve, by others, once it has got out of your control.	"[""storytelling-and-power"", ""social-class-and-propriety""]"
And they do say that cleanliness is next to Godliness; and sometimes, when I have seen the pure white clouds billowing in the sky after a rain, I used to think that it was as if the angels themselves were hanging out their washing; for I reasoned that someone must do it, as everything in Heaven must be very clean and fresh.	"[""social-class-and-propriety"", ""justice-and-religion""]"
In fact I have no idea of what kind of a sunrise there was. In prison they make the windows high up, so you cannot climb out of them I suppose, but also so you cannot see out of them either, or at least not onto the outside world. They do not want you looking out, they do not want you thinking the word out, they do not want you looking at the horizon and thinking you might someday drop below it yourself, like the sail of a ship departing or a horse and rider vanishing down a far hillside.	"[""storytelling-and-power""]"
Then I say, I thank you from the bottom of my heart, Sir, this radish was like the nectar of the Gods. He looks surprised to hear me use such an expression; but that’s only because he doesn’t remember that I have read the poetry of Sir Walter Scott.	"[""storytelling-and-power"", ""social-class-and-propriety""]"
Underneath her stiff dress there must be breasts, not starched and corset-shaped, but made of soft flesh, with nipples; he finds himself idly guessing what colour these nipples would be, in sunlight or else in lamplight, and how large. Nipples pink and small like the snouts of animals, of rabbits or mice perhaps; or the almost-red of ripening currants; or the scaly brown of acorn caps. His imagination runs, he notes, to wildwood details, and to things hard or alert.	"[""gender-ownership-and-power""]"
It’s dark as a stone in this room, and hot as a roasting heart; if you stare into the darkness with your eyes open you are sure to see something after a time. I hope it will not be flowers. But this is the time they like to grow, the red flowers, the shining red peonies which are like satin, which are like splashes of paint. The soil for them is emptiness, it is empty space and silence. I whisper, Talk to me; because I would rather have talking than the slow gardening that takes place in silence, with the red satin petals dripping down the wall.	"[""storytelling-and-power"", ""truth-memory-and-madness""]"
Grace continues her stitching. She does not look up. “Nobody has cared about that before, Sir,” she says. “They told me I must be lying; they kept wanting to know more. Except for Mr. Kenneth MacKenzie the lawyer. But I am sure that even he did not believe me.”	"[""storytelling-and-power"", ""truth-memory-and-madness""]"
I said, What do you want here, but he did not answer, he just kept on being silver, so I went out to milk the cow; because the only thing to do about God is to go on with what you were doing anyway, since you can’t ever stop him or get any reasons out of him. There is a Do this or a Do that with God, but not any Because.	"[""social-class-and-propriety"", ""truth-memory-and-madness"", ""justice-and-religion""]"
But he’ll pry it out of her yet. He’s got the hook in her mouth, but can he pull her out? Up, out of the abyss, up to the light. Out of the deep blue sea.	"[""female-sexuality-and-the-nature-of-women"", ""truth-memory-and-madness"", ""gender-ownership-and-power""]"
Then I put on a clean apron, and stirred up the fire in the summer kitchen stove, which still had some embers left in it, and burnt my own clothes; I didn’t like the thought of wearing them ever again, as they would remind me of things I wished to forget. It may have been my fancy, but a smell went up from them like scorching meat; and it was like my own dirtied and cast-off skin that was burning.	"[""truth-memory-and-madness""]"
I was horrified, and asked how could he do such a thing; and he said what did I mean, as I was wearing Nancy’s dress and bonnet myself. And I said it was not the same thing, and he said it was; and I said at least I had not taken the boots off a corpse.	"[""social-class-and-propriety"", ""truth-memory-and-madness"", ""justice-and-religion""]"
He wanted me to tell my story in what he called a coherent way, but would often accuse me of wandering, and become annoyed with me; and at last he said that the right thing was, not to tell the story as I truly remembered it, which nobody could be expected to make any sense of; but to tell a story that would hang together, and that had some chance of being believed.	"[""storytelling-and-power""]"
During the day, Rachel is a burden, an encumbrance, and he wishes to be rid of her; but at night she’s an altogether different person, and so is he. He too says no when he means yes. He means more, he means further, he means deeper. He would like to make an incision in her—just a small one—so he can taste her blood, which in the shadowy darkness of the bedroom seems to him like a normal wish to have.	"[""female-sexuality-and-the-nature-of-women"", ""gender-ownership-and-power""]"
I hope I was named after it. I would like to be found. I would like to see. Or to be seen. I wonder if, in the eye of God, it amounts to the same thing. As it says in the Bible, For now we see through a glass, darkly; but then face to face.	"[""justice-and-religion""]"
Then there are his own requirements. There is passion in Grace somewhere, he’s certain of it, although it would take some hunting for. And she’d be grateful to him, albeit reluctantly. Gratitude by itself does not enthral [sic] him, but he likes the idea of reluctance.	"[""gender-ownership-and-power""]"
“You killed her,” breathes Lydia. “I always thought so.” She sounds, if anything, admiring.	"[""female-sexuality-and-the-nature-of-women"", ""truth-memory-and-madness"", ""justice-and-religion""]"
He’ll begin to tiptoe up the stairs, intending to avoid her. Then he’ll turn around, make his way to her room, shake her roughly awake. Tonight he’ll hit her, as she’s begged him to; he’s never done that before, it’s something new. He wants to punish her for his own addiction to her. He wants to make her cry; though not too loudly, or Dora will hear them, and trumpet scandal.	"[""social-class-and-propriety"", ""truth-memory-and-madness"", ""gender-ownership-and-power""]"
The room was so large it was almost frightening to me, and I pulled the sheet up over my head to make it darker; and then I felt as if my face was dissolving and turning into someone else’s face, and I recalled my poor mother in her shroud, as they were sliding her into the sea, and how I thought that she had already changed inside the sheet, and was a different woman, and now the same thing was happening to me. Of course I wasn’t dying, but it was in a way similar.	"[""storytelling-and-power"", ""truth-memory-and-madness"", ""justice-and-religion""]"
But three of the triangles in my Tree will be different. One will be white, from the petticoat I still have that was Mary Whitney’s; one will be faded yellowish, from the prison nightdress I begged as a keepsake when I left there. And the third will be a pale cotton, a pink and white floral, cut from the dress of Nancy’s that she had on the first day I was at Mr. Kinnear’s, and that I wore on the ferry to Lewiston, when I was running away.	"[""storytelling-and-power"", ""gender-ownership-and-power"", ""justice-and-religion""]"
Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw. How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head though the doorway.	"[""childhood-and-adulthood"", ""dreams-and-reality""]"
'But if I'm not the same, the next question is, Who in the world am I? Ah, THAT'S the great puzzle!' And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.	"[""childhood-and-adulthood"", ""the-nature-of-being-and-not-being""]"
'But who is to give the prizes?' quite a chorus of voices asked.  'Why, SHE, of course,' said the Dodo, pointing to Alice with one finger; and the whole party at once crowded round her, calling out in a confused way, 'Prizes! Prizes!' 	"[""childhood-and-adulthood""]"
“It was much pleasanter at home,' thought poor Alice, 'when one wasn't always growing larger and smaller, and being ordered about by mice and rabbits. I almost wish I hadn't gone down that rabbit-hole--and yet--and yet--it's rather curious, you know, this sort of life!”	"[""childhood-and-adulthood"", ""dreams-and-reality""]"
'Who are YOU?' said the Caterpillar.  This was not an encouraging opening for a conversation. Alice replied, rather shyly, 'I--I hardly know, sir, just at present-- at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.' 	"[""childhood-and-adulthood"", ""dreams-and-reality"", ""the-nature-of-being-and-not-being""]"
'If everybody minded their own business,' the Duchess said in a hoarse growl, 'the world would go round a deal faster than it does.'	"[""childhood-and-adulthood"", ""words-meaning-and-meaninglessness""]"
'Your hair wants cutting,' said the Hatter. He had been looking at Alice for some time with great curiosity, and this was his first speech.  'You should learn not to make personal remarks,' Alice said with some severity; 'it's very rude.' 	"[""childhood-and-adulthood"", ""words-meaning-and-meaninglessness""]"
The players all played at once without waiting for turns, quarrelling all the while, and fighting for the hedgehogs; and in a very short time the Queen was in a furious passion, and went stamping about, and shouting 'Off with his head!' or 'Off with her head!' about once in a minute.	"[""the-nature-of-being-and-not-being""]"
'Tut, tut, child!' said the Duchess. 'Everything's got a moral, if only you can find it.' And she squeezed herself up closer to Alice's side as she spoke.	"[""childhood-and-adulthood""]"
'It all came different!' the Mock Turtle repeated thoughtfully. 'I should like to hear her try and repeat something now. Tell her to begin.' He looked at the Gryphon as if he thought it had some kind of authority over Alice.	"[""childhood-and-adulthood"", ""words-meaning-and-meaninglessness""]"
'Give your evidence,' said the King; 'and don't be nervous, or I'll have you executed on the spot.'	"[""words-meaning-and-meaninglessness"", ""the-nature-of-being-and-not-being""]"
'Who cares for you?' said Alice, (she had grown to her full size by this time.) 'You're nothing but a pack of cards!'	"[""childhood-and-adulthood"", ""dreams-and-reality"", ""the-nature-of-being-and-not-being""]"
I didn’t need ROTC. But I did it, and I did it good, because my dad was pretty much making me. He's one of those dudes who feels like there's no better	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility""]"
I wasn’t a stand-in for Dad. Nobody could be that. When the IED got him in Afghanistan, he became an instant saint in Springfield. I wasn't him. I'd never be him. But I was still supposed to try. That was my role: the dutiful son, the	"[""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
I begin almost every day the same way: Ma's voice in my head, telling me what I needed to do, what I needed to think about, how I needed to act. But on mornings like this one––or if Coach Carney was making us do suicides up and down the court for fifteen minutes, or when Dwyer dropped another five-pounder on either side of the bar on my last rep in the weight room––it was Dad's voice in my head, or at least what I thought was his voice. I hadn't heard it in so long, I couldn’t even tell if it was his or if I was making it up. Whatever it was, it got me to where I needed to get.	"[""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
Honestly, I just wanted to take it easy for the rest of the day. I didn’t want to hear Spoony preach about how hard it is to be black, or my father preach about how young people lack pride and integrity, making us easy targets. I didn't even want to think about the preacher preaching about how God is in control of it all, or my mother, my sweet, sweet mother caught in the middle of it all. The referee who blows the whistle but is way too nice to call foul on anyone. That’s her. She just wants me to be okay. That's it and that’s all. So if football was going to be the thing that took our minds off the mess for at least a few hours, then fine with me.	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
I felt like such an ass. I'd quickly convinced myself I had no idea who that kid with Paul was that night. And yeah, there were like a thousand kids in each grade at school, or whatever, but I did know him. Or know of him, really. I'd seen him––Rashad––in that uniform, and it'd made me think of my dad wearing his own at college. How my dad had looked proud in all those pictures.	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
“I mean, it's Paul. This is the same guy I’ve seen carrying my mom up the front steps, for God's sake.” I was thinking about that time Ma got trashed because it was her first wedding anniversary without Dad. Paul had been so	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
“Why does it automatically gotta be Rashad's fault? Why do people think he was on drugs? That dude doesn’t do drugs. He's ROTC, man. His dad would kick his ass. You do drugs, asshole.”	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility""]"
There was a cabbie who straight up said he wouldn't pick me up if he saw me at night. That really pissed me off. I mean, I had heard Spoony talk about that	"[""racism-stereotyping-and-police-brutality"", ""maturity-discipline-and-responsibility""]"
If I didn't want the violence to remain, I had to do a hell of a lot more than just say the right things and not say the wrong things.	"[""racism-stereotyping-and-police-brutality"", ""maturity-discipline-and-responsibility""]"
My dad, my dad, had paralyzed an unarmed kid, a black kid, and I had had no	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
Well, where was I when Rashad was lying in the street? Where was I the year all these black American boys were lying in the streets? Thinking about scouts? Keeping my head down like Coach said? That was walking away. It was running away, for God's sake.	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""maturity-discipline-and-responsibility""]"
Pictures of me throwing up the peace sign, some––the ones Spoony feared––of me flipping off the camera. Carlos and the fellas had been cropped out. These images would have nasty comments under them from people saying stuff like, Looks like he'd rob a store, and If he'd pull his pants up, maybe he would've gotten away with the crime! Lol, and Is that a gang sign? Other pictures were of me in my ROTC uniform. Of course, those had loads of comments like, Does this look like a thug? and If he were white with this uniform on, would you still question him?	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
What about Dad? Talk about a man who died for his convictions. How many times did he re-up after 9/11?. Three. I was old enough now to know he wasn’t fearless. He'd probably been scared shitless every time he went back. He wasn’t strong because he wasn’t afraid. No, he was strong because he kept doing it even though he was afraid.	"[""american-culture-values-and-patriotism"", ""fathers-and-sons"", ""maturity-discipline-and-responsibility"", ""heroes-vs-villains""]"
Me, Spoony, Carlos, English, Berry, and Shannon were in the front of the crowd, and all of a sudden, our arms locked and we were leading the way like—the image came to me of raging water crashing against the walls of a police dam. Marching. But it wasn’t like I was used to. It wasn't military style. Your left! Your left! Your left-right-left! It wasn’t like that at all. It was an uncounted step, yet we were all in sync. We were on a mission.	"[""racism-stereotyping-and-police-brutality"", ""american-culture-values-and-patriotism""]"
Well, a favorable day for a person is a fortunate day, according to his stars. In other words it would be practically impossible for him to have died on his favorable day. 	"[""family-and-familial-obligation"", ""loss-and-memory"", ""liability-culpability-and-guilt""]"
. . . it’s very unusual to me, marrying the brother of your sweetheart. I don’t know. I think it’s mostly that whenever I need somebody to tell me the truth I’ve always thought of Chris . . . . He relaxes me. 	"[""family-and-familial-obligation"", ""loss-and-memory"", ""war-morality-and-consequences""]"
What’d Joe do, tell him? Tell him what? Don’t be afraid, Kate, I know. I’ve always known. How? It occurred to me a long time ago.	"[""loss-and-memory"", ""war-morality-and-consequences"", ""liability-culpability-and-guilt""]"
This book is to be neither an accusation nor a confession, and least of all an adventure, for death is not an adventure to those who stand face to face with it. It will try simply to tell of a generation of men who, even though they may have escaped its shells, were destroyed by the war.	"[""the-horror-of-modern-war"", ""survival"", ""the-lost-generation""]"
Though Müller would be delighted to have Kemmerich's boots, he is really quite as sympathetic as another who could not bear to think of such a thing for grief. He merely sees things clearly…We have lost all sense of other considerations, because they are artiﬁcial. Only the facts are real and important for us. And good boots are scarce.	"[""survival"", ""comradeship""]"
If you train a dog to eat potatoes and then afterwards put a piece of meat in front of him, he'll snap at it, it's his nature. And if you give a man a little bit of authority he behaves just the same way, he snaps at it too. The things are precisely the same. In himself man is essentially a beast, only he butters it over like a slice of bread with a little decorum. The army is based on that; one man must always have power over the other. 	"[""the-horror-of-modern-war"", ""comradeship""]"
At the sound of the ﬁrst droning of the shells we rush back, in one part of our being, a thousand years. By the animal instinct that is awakened in us we are led and protected. It is not conscious; it is far quicker, much more sure, less fallible, than consciousness. One cannot explain it…It is this other, this second sight in us, that has…saved us, without our knowing how.	"[""survival""]"
"""When I think about it, Albert,"" I say after a while rolling over on my back, ""when I hear the word 'peace-time,' it goes to my head: and if it really came, I think I would do some unimaginable thing—something, you know, that it's worth having lain here in the muck for. But I can't even imagine anything. All I do know is that this business about professions and studies and salaries and so on—it makes me sick, it is and always was disgusting. I don't see anything at all, Albert."""	"[""the-lost-generation""]"
It is just as much a matter of chance that I am still alive as that I might have been hit. In a bombproof dug-out I may be smashed to atoms and in the open may survive ten hours' bombardment unscathed. No soldier outlives a thousand chances. But every soldier believes in Chance and trusts his luck 	"[""the-horror-of-modern-war"", ""survival""]"
The terror of the front sinks deep down when we turn our backs upon it; we make grim, coarse jests about it, when a man dies, then we say he has nipped off his turd, and so we speak of everything; that keeps us from going mad; as long as we take it that way we maintain our own resistance. 	"[""the-horror-of-modern-war"", ""survival""]"
I am frightened: I dare think this way no more. This way lies the abyss. It is not now the time but I will not lose these thoughts, I will keep them, shut them away until the war is ended. My heart beats fast: this is the aim, the great, the sole aim, that I have thought of in the trenches; that I have looked for as the only possibility of existence after this annihilation of all human feeling; this is a task that will make life afterward worthy of these hideous years. 	"[""the-horror-of-modern-war"", ""survival"", ""the-lost-generation"", ""comradeship"", ""the-hypocrisy-of-the-older-generation""]"
Now I hear mufﬂed voices. To judge by the tone that might be Kat talking…These voices, these quiet words, these footsteps in the trench behind me recall me at a bound from the terrible loneliness and fear of death by which I had been almost destroyed. They are more to me than life, these voices, they are more than motherliness and more than fear; they are the strongest, most comforting thing there is anywhere: they are the voices of my comrades. I am no longer a shuddering speck of existence, alone in the darkness;—I belong to them and they to me; we all share the same fear and the same life, we are nearer than lovers, in a simpler, a harder way; I could bury my face in them, in these voices, these words that have saved me and will stand by me. 	"[""survival"", ""comradeship""]"
Thus we live a closed, hard existence of the utmost superﬁciality, and rarely does an incident strike out a spark. But then unexpectedly a ﬂame of grievous and terrible yearning ﬂares up.	"[""the-horror-of-modern-war"", ""survival""]"
And men will not understand us—for the generation that grew up before us, though it has passed these years with us already had a home and a calling; now it will return to its old occupations, and the war will be forgotten—and the generation that has grown up after us will be strange to us and push us aside. We will be superﬂuous even to ourselves, we will grow older, a few will adapt themselves, some others will merely submit, and most will be bewildered;—the years will pass by and in the end we shall fall into ruin. 	"[""the-horror-of-modern-war"", ""the-lost-generation""]"
The children pressed to each other like so many roses, so many weeds, intermixed, peering out for a look at the hidden sun.	"[""the-power-of-nature"", ""anticipation-and-disappointment""]"
